d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d18,d18,d18,d18,d17,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d15,d15,d15,d15,d15,d15,d15,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d15,d15,d16,d16,d16,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d14
d15,d15,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d15,d15,d15,d15,d15,d14,d14,d14,d14,d14,d14,d15,d15,d16,d16,d16,d17,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16
d20,d17,d16,d16,d16,d16,d17,d17,d17,d16,d16,d16,d16,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d17,d17,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18
d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d4,d4,d4,d4,d4,d4,d4,d4,d3,d3,d3,d3,d1,d1,d2,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d15,d15,d15,d15,d15,d15,d15,d14,d14,d15,d15
d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16
d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d20,d20,d19,d19,d19,d20,d20,d20,d20,d20,d20,d20,d20
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14
d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18
d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14
d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18
d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14
